timestamp,yhat
2021-01-01 00:00:00,5.512212991983086
2021-01-01 01:00:00,5.249294276416627
2021-01-01 02:00:00,5.089306786206409
2021-01-01 03:00:00,5.043153404418429
2021-01-01 04:00:00,5.113979407749467
2021-01-01 05:00:00,5.296958121118019
2021-01-01 06:00:00,5.579619847594639
2021-01-01 07:00:00,5.942701657640534
2021-01-01 08:00:00,6.361460125922138
2021-01-01 09:00:00,6.807357554857149
2021-01-01 10:00:00,7.250006771543989
2021-01-01 11:00:00,7.6592419633778634
2021-01-01 12:00:00,8.00717442832843
2021-01-01 13:00:00,8.270093143894888
2021-01-01 14:00:00,8.430080634105106
2021-01-01 15:00:00,8.476234015893088
2021-01-01 16:00:00,8.405408012562047
2021-01-01 17:00:00,8.222429299193495
2021-01-01 18:00:00,7.939767572716876
2021-01-01 19:00:00,7.576685762670981
2021-01-01 20:00:00,7.157927294389377
2021-01-01 21:00:00,6.712029865454365
2021-01-01 22:00:00,6.2693806487675285
2021-01-01 23:00:00,5.860145456933652
